Participant,Trial,Word,Color,GPT Response,Correct Response,Reaction Time (s),Accuracy,Feedback,Feedback Response,Ping Time (ms)
1,291,XXXX,"(255, 0, 0)",m,m,1.1205673217773438e-05,1,,,66.3142204284668
1,292,BLUE,"(255, 0, 0)",m,m,1.5020370483398438e-05,1,,,66.69497489929199
1,293,BLUE,"(0, 0, 255)",m,b,1.4066696166992188e-05,0,,,65.11378288269043
1,294,RED,"(255, 0, 0)",m,m,1.4066696166992188e-05,1,,,73.40192794799805
1,295,RED,"(255, 0, 0)",b,m,1.4781951904296875e-05,0,,,66.62392616271973
1,296,XXXX,"(0, 0, 255)",m,b,1.3828277587890625e-05,0,,,71.32482528686523
1,297,BLUE,"(0, 0, 255)",m,b,1.5020370483398438e-05,0,,,67.69204139709473
1,298,BLUE,"(255, 0, 0)",m,m,1.5974044799804688e-05,1,,,71.36297225952148
1,299,XXXX,"(0, 0, 255)",m,b,1.4066696166992188e-05,0,,,72.46994972229004
1,300,RED,"(0, 0, 255)",b,b,1.3828277587890625e-05,1,,,65.51289558410645
1,301,XXXX,"(255, 0, 0)",b,m,1.5974044799804688e-05,0,,,133.2237720489502
1,302,XXXX,"(0, 0, 255)",m,b,1.5020370483398438e-05,0,,,289.3860340118408
1,303,BLUE,"(255, 0, 0)",m,m,1.52587890625e-05,1,,,67.01207160949707
1,304,RED,"(255, 0, 0)",m,m,6.198883056640625e-06,1,,,64.73016738891602
1,305,RED,"(0, 0, 255)",m,b,1.5020370483398438e-05,0,,,68.03512573242188
1,306,BLUE,"(0, 0, 255)",m,b,1.0967254638671875e-05,0,,,66.98203086853027
1,307,XXXX,"(255, 0, 0)",m,m,6.198883056640625e-06,1,,,66.34640693664551
1,308,XXXX,"(255, 0, 0)",b,m,3.0994415283203125e-06,0,,,64.88990783691406
1,309,BLUE,"(255, 0, 0)",b,m,4.0531158447265625e-06,0,,,66.72501564025879
1,310,RED,"(255, 0, 0)",b,m,1.7881393432617188e-05,0,,,64.68391418457031
1,311,XXXX,"(255, 0, 0)",m,m,1.4781951904296875e-05,1,,,75.6990909576416
1,312,BLUE,"(0, 0, 255)",b,b,1.5735626220703125e-05,1,,,71.48480415344238
1,313,BLUE,"(255, 0, 0)",m,m,1.5020370483398438e-05,1,,,73.89688491821289
1,314,RED,"(0, 0, 255)",m,b,1.5020370483398438e-05,0,,,64.5751953125
1,315,XXXX,"(255, 0, 0)",m,m,1.0967254638671875e-05,1,,,73.12917709350586
1,316,BLUE,"(255, 0, 0)",m,m,1.2159347534179688e-05,1,,,66.07604026794434
1,317,XXXX,"(0, 0, 255)",m,b,1.3828277587890625e-05,0,,,72.87406921386719
1,318,BLUE,"(255, 0, 0)",m,m,1.5974044799804688e-05,1,,,66.1623477935791
1,319,XXXX,"(0, 0, 255)",b,b,1.52587890625e-05,1,,,65.12904167175293
1,320,BLUE,"(255, 0, 0)",b,m,1.3589859008789062e-05,0,,,64.81814384460449
1,321,XXXX,"(255, 0, 0)",m,m,1.3113021850585938e-05,1,,,65.43493270874023
1,322,BLUE,"(0, 0, 255)",m,b,1.5974044799804688e-05,0,,,72.94487953186035
1,323,RED,"(0, 0, 255)",m,b,4.0531158447265625e-06,0,,,75.03890991210938
1,324,XXXX,"(255, 0, 0)",m,m,7.152557373046875e-06,1,,,66.76292419433594
1,325,XXXX,"(255, 0, 0)",b,m,1.3828277587890625e-05,0,,,66.95389747619629
1,326,BLUE,"(255, 0, 0)",b,m,1.4781951904296875e-05,0,,,71.45500183105469
1,327,BLUE,"(0, 0, 255)",m,b,1.0728836059570312e-05,0,,,72.15499877929688
1,328,RED,"(0, 0, 255)",b,b,1.5735626220703125e-05,1,,,67.04115867614746
1,329,RED,"(0, 0, 255)",m,b,1.5020370483398438e-05,0,,,72.9820728302002
1,330,BLUE,"(255, 0, 0)",m,m,1.1205673217773438e-05,1,,,67.02685356140137
1,331,RED,"(0, 0, 255)",m,b,1.4781951904296875e-05,0,,,66.03407859802246
1,332,XXXX,"(0, 0, 255)",b,b,1.5020370483398438e-05,1,,,66.01905822753906
1,333,RED,"(0, 0, 255)",m,b,6.9141387939453125e-06,0,,,65.4900074005127
1,334,RED,"(0, 0, 255)",b,b,1.0967254638671875e-05,1,,,65.89913368225098
1,335,XXXX,"(0, 0, 255)",m,b,1.4781951904296875e-05,0,,,72.02315330505371
1,336,BLUE,"(255, 0, 0)",m,m,6.9141387939453125e-06,1,,,74.25904273986816
1,337,RED,"(255, 0, 0)",b,m,5.9604644775390625e-06,0,,,66.19906425476074
1,338,RED,"(255, 0, 0)",b,m,1.5020370483398438e-05,0,,,71.71821594238281
1,339,BLUE,"(0, 0, 255)",m,b,1.0967254638671875e-05,0,,,64.77212905883789
1,340,XXXX,"(255, 0, 0)",b,m,2.288818359375e-05,0,,,64.99195098876953
1,341,RED,"(255, 0, 0)",m,m,6.9141387939453125e-06,1,,,70.79672813415527
1,342,RED,"(255, 0, 0)",m,m,5.9604644775390625e-06,1,,,64.69988822937012
1,343,XXXX,"(255, 0, 0)",b,m,8.106231689453125e-06,0,,,65.43111801147461
1,344,BLUE,"(0, 0, 255)",b,b,1.1920928955078125e-05,1,,,64.99814987182617
1,345,RED,"(0, 0, 255)",m,b,1.2874603271484375e-05,0,,,67.7640438079834
1,346,XXXX,"(0, 0, 255)",b,b,1.0967254638671875e-05,1,,,65.34409523010254
1,347,RED,"(0, 0, 255)",b,b,4.482269287109375e-05,1,,,71.4271068572998
1,348,XXXX,"(0, 0, 255)",b,b,1.1205673217773438e-05,1,,,66.21694564819336
1,349,XXXX,"(255, 0, 0)",b,m,2.7894973754882812e-05,0,,,65.40703773498535
1,350,BLUE,"(0, 0, 255)",b,b,1.621246337890625e-05,1,,,72.49093055725098
1,351,RED,"(0, 0, 255)",b,b,1.5020370483398438e-05,1,,,67.13581085205078
1,352,RED,"(255, 0, 0)",m,m,1.5020370483398438e-05,1,,,73.51803779602051
1,353,BLUE,"(255, 0, 0)",b,m,1.3828277587890625e-05,0,,,66.16497039794922
1,354,RED,"(255, 0, 0)",b,m,1.5974044799804688e-05,0,,,67.05999374389648
1,355,XXXX,"(0, 0, 255)",b,b,1.4781951904296875e-05,1,,,66.1320686340332
1,356,BLUE,"(255, 0, 0)",m,m,1.5974044799804688e-05,1,,,272.7181911468506
1,357,RED,"(0, 0, 255)",m,b,1.621246337890625e-05,0,,,226.3789176940918
1,358,BLUE,"(0, 0, 255)",b,b,1.1920928955078125e-05,1,,,66.56980514526367
1,359,RED,"(0, 0, 255)",b,b,6.9141387939453125e-06,1,,,65.15216827392578
1,360,XXXX,"(255, 0, 0)",m,m,1.7881393432617188e-05,1,,,73.24099540710449
1,361,XXXX,"(0, 0, 255)",b,b,1.5974044799804688e-05,1,,,65.50288200378418
1,362,XXXX,"(255, 0, 0)",m,m,1.621246337890625e-05,1,,,71.32387161254883
1,363,RED,"(0, 0, 255)",b,b,1.1205673217773438e-05,1,,,65.1998519897461
1,364,RED,"(255, 0, 0)",m,m,1.0967254638671875e-05,1,,,65.67597389221191
1,365,RED,"(0, 0, 255)",m,b,1.3113021850585938e-05,0,,,65.49811363220215
1,366,RED,"(255, 0, 0)",b,m,5.0067901611328125e-06,0,,,65.35506248474121
1,367,XXXX,"(255, 0, 0)",m,m,1.3828277587890625e-05,1,,,72.45731353759766
1,368,RED,"(255, 0, 0)",m,m,1.5735626220703125e-05,1,,,67.40784645080566
1,369,RED,"(0, 0, 255)",b,b,1.4781951904296875e-05,1,,,72.82495498657227
1,370,BLUE,"(0, 0, 255)",b,b,1.0967254638671875e-05,1,,,86.69090270996094
